angrier	adverb	2
worse	adverb	1
bigger	adverb	1
bitterer	adverb	3
blacker	adverb	1
blander	adverb	6
bloodier	adverb	2
bluer	adverb	1
bolder	adverb	3
bossier	adverb	4
braver	adverb	3
briefer	adverb	3
brighter	adverb	2
broader	adverb	3
busier	adverb	2
calmer	adverb	3
cheaper	adverb	1
cleaner	adverb	1
clear	adverb	2
cleverer	adverb	1
closer	adverb	1
cloudier	adverb	2
clumsier	adverb	4
colder	adverb	1
cooler	adverb	2
crazier	adverb	2
crueller	adverb	3
curly	adverb	3
damper	adverb	4
darker	adverb	1
deadlier	adverb	4
deeper	adverb	2
denser	adverb	4
dirtier	adverb	2
drier	adverb	2
duller	adverb	3
dumber	adverb	5
dustier	adverb	3
earlier	adverb	1
easier	adverb	1
fainter	adverb	4
fairer	adverb	2
fancier	adverb	3
further	adverb	2
faster	adverb	1
fatter	adverb	1
fewer	adverb	2
fiercer	adverb	4
filthier	adverb	5
finer	adverb	1
firmer	adverb	4
fitter	adverb	2
flatter	adverb	3
fresher	adverb	2
friendlier	adverb	2
fuller	adverb	2
funnier	adverb	1
gentler	adverb	3
better	adverb	1
grander	adverb	5
graver	adverb	4
greater	adverb	1
greedier	adverb	4
grosser	adverb	5
guilter	adverb	4
hairier	adverb	1
handier	adverb	6
happier	adverb	1
harder	adverb	1
harsher	adverb	5
healthier	adverb	2
heavier	adverb	2
higher	adverb	2
hipper	adverb	2
hotter	adverb	1
humbler	adverb	6
hungrier	adverb	1
icier	adverb	3
itchier	adverb	4
juicier	adverb	3
kinder	adverb	2
larger	adverb	2
later	adverb	1
lazier	adverb	2
lighter	adverb	1
likelier	adverb	3
littler	adverb	1
livelier	adverb	3
lonlier	adverb	3
longer	adverb	1
louder	adverb	2
lovelier	adverb	2
lower	adverb	2
madder	adverb	2
meaner	adverb	4
messier	adverb	3
milder	adverb	3
narrower	adverb	3
nastier	adverb	3
naughtier	adverb	4
nearer	adverb	3
neater	adverb	3
needier	adverb	1
newer	adverb	1
nicer	adverb	1
noisier	adverb	2
odder	adverb	4
oilier	adverb	2
elder	adverb	1
older	adverb	1
plainer	adverb	3
politer	adverb	2
poorer	adverb	1
prettier	adverb	2
prouder	adverb	3
purer	adverb	3
quicker	adverb	1
quieter	adverb	2
rarer	adverb	3
rawer	adverb	3
richer	adverb	2
riper	adverb	4
riskier	adverb	4
roomier	adverb	1
rougher	adverb	3
ruder	adverb	3
rustier	adverb	4
sadder	adverb	1
safer	adverb	1
saltier	adverb	4
saner	adverb	6
scarier	adverb	3
shallower	adverb	4
sharper	adverb	3
shinier	adverb	3
shorter	adverb	1
shyer	adverb	3
sillier	adverb	3
simpler	adverb	2
sincerer	adverb	5
sleepier	adverb	3
slimmer	adverb	1
slower	adverb	1
smaller	adverb	1
smarter	adverb	3
smokier	adverb	6
smoother	adverb	3
softer	adverb	2
sooner	adverb	2
sorer	adverb	3
sorrier	adverb	1
sourer	adverb	3
spicier	adverb	3
steeper	adverb	3
stranger	adverb	2
stricter	adverb	3
stronger	adverb	2
sunnier	adverb	2
sweeter	adverb	1
taller	adverb	1
tanner	adverb	4
tastier	adverb	3
thicker	adverb	3
thinner	adverb	2
thirstier	adverb	2
tinier	adverb	3
tougher	adverb	4
truer	adverb	2
warmer	adverb	1
weaker	adverb	3
wealthier	adverb	4
weirder	adverb	4
wetter	adverb	2
wider	adverb	2
wilder	adverb	2
windier	adverb	2
wiser	adverb	4
worthier	adverb	5
younger	adverb	1
angrier	adjective	2
worse	adjective	1
bigger	adjective	1
bitterer	adjective	3
blacker	adjective	1
blander	adjective	6
bloodier	adjective	2
bluer	adjective	1
bolder	adjective	3
bossier	adjective	4
braver	adjective	3
briefer	adjective	3
brighter	adjective	2
broader	adjective	3
busier	adjective	2
calmer	adjective	3
cheaper	adjective	1
cleaner	adjective	1
clear	adjective	2
cleverer	adjective	1
closer	adjective	1
cloudier	adjective	2
clumsier	adjective	4
colder	adjective	1
cooler	adjective	2
crazier	adjective	2
crueller	adjective	3
curly	adjective	3
damper	adjective	4
darker	adjective	1
deadlier	adjective	4
deeper	adjective	2
denser	adjective	4
dirtier	adjective	2
drier	adjective	2
duller	adjective	3
dumber	adjective	5
dustier	adjective	3
earlier	adjective	1
easier	adjective	1
fainter	adjective	4
fairer	adjective	2
fancier	adjective	3
further	adjective	2
faster	adjective	1
fatter	adjective	1
fewer	adjective	2
fiercer	adjective	4
filthier	adjective	5
finer	adjective	1
firmer	adjective	4
fitter	adjective	2
flatter	adjective	3
fresher	adjective	2
friendlier	adjective	2
fuller	adjective	2
funnier	adjective	1
gentler	adjective	3
better	adjective	1
grander	adjective	5
graver	adjective	4
greater	adjective	1
greedier	adjective	4
grosser	adjective	5
guilter	adjective	4
hairier	adjective	1
handier	adjective	6
happier	adjective	1
harder	adjective	1
harsher	adjective	5
healthier	adjective	2
heavier	adjective	2
higher	adjective	2
hipper	adjective	2
hotter	adjective	1
humbler	adjective	6
hungrier	adjective	1
icier	adjective	3
itchier	adjective	4
juicier	adjective	3
kinder	adjective	2
larger	adjective	2
later	adjective	1
lazier	adjective	2
lighter	adjective	1
likelier	adjective	3
littler	adjective	1
livelier	adjective	3
lonlier	adjective	3
longer	adjective	1
louder	adjective	2
lovelier	adjective	2
lower	adjective	2
madder	adjective	2
meaner	adjective	4
messier	adjective	3
milder	adjective	3
narrower	adjective	3
nastier	adjective	3
naughtier	adjective	4
nearer	adjective	3
neater	adjective	3
needier	adjective	1
newer	adjective	1
nicer	adjective	1
noisier	adjective	2
odder	adjective	4
oilier	adjective	2
elder	adjective	1
older	adjective	1
plainer	adjective	3
politer	adjective	2
poorer	adjective	1
prettier	adjective	2
prouder	adjective	3
purer	adjective	3
quicker	adjective	1
quieter	adjective	2
rarer	adjective	3
rawer	adjective	3
richer	adjective	2
riper	adjective	4
riskier	adjective	4
roomier	adjective	1
rougher	adjective	3
ruder	adjective	3
rustier	adjective	4
sadder	adjective	1
safer	adjective	1
saltier	adjective	4
saner	adjective	6
scarier	adjective	3
shallower	adjective	4
sharper	adjective	3
shinier	adjective	3
shorter	adjective	1
shyer	adjective	3
sillier	adjective	3
simpler	adjective	2
sincerer	adjective	5
sleepier	adjective	3
slimmer	adjective	1
slower	adjective	1
smaller	adjective	1
smarter	adjective	3
smokier	adjective	6
smoother	adjective	3
softer	adjective	2
sooner	adjective	2
sorer	adjective	3
sorrier	adjective	1
sourer	adjective	3
spicier	adjective	3
steeper	adjective	3
stranger	adjective	2
stricter	adjective	3
stronger	adjective	2
sunnier	adjective	2
sweeter	adjective	1
taller	adjective	1
tanner	adjective	4
tastier	adjective	3
thicker	adjective	3
thinner	adjective	2
thirstier	adjective	2
tinier	adjective	3
tougher	adjective	4
truer	adjective	2
warmer	adjective	1
weaker	adjective	3
wealthier	adjective	4
weirder	adjective	4
wetter	adjective	2
wider	adjective	2
wilder	adjective	2
windier	adjective	2
wiser	adjective	4
worthier	adjective	5
younger	adjective	1
angriest	adverb	2
worst	adverb	1
biggest	adverb	1
bitterest	adverb	3
blackest	adverb	1
blandest	adverb	6
bloodiest	adverb	2
bluest	adverb	1
boldest	adverb	3
bossiest	adverb	4
bravest	adverb	3
briefest	adverb	3
brightest	adverb	2
broadest	adverb	3
busiest	adverb	2
calmest	adverb	3
cheapest	adverb	1
cleanest	adverb	1
clearest	adverb	2
cleverest	adverb	1
closest	adverb	1
cloudiest	adverb	2
clumsiest	adverb	4
coldest	adverb	1
coolest	adverb	2
craziest	adverb	2
cruellest	adverb	3
curliest	adverb	3
dampest	adverb	4
darkest	adverb	1
deadliest	adverb	4
deepest	adverb	2
densest	adverb	4
dirtiest	adverb	2
driest	adverb	2
dullest	adverb	3
dumbest	adverb	5
dustiest	adverb	3
earliest	adverb	1
easiest	adverb	1
faintest	adverb	4
fairest	adverb	2
fanciest	adverb	3
furthest	adverb	2
fastest	adverb	1
fattest	adverb	1
fewest	adverb	2
fiercest	adverb	4
filthiest	adverb	5
finest	adverb	1
firmest	adverb	4
fittest	adverb	2
flattest	adverb	3
freshest	adverb	2
friendliest	adverb	2
fullest	adverb	2
funniest	adverb	1
gentlest	adverb	3
best	adverb	1
grandest	adverb	5
gravest	adverb	4
greatest	adverb	1
greediest	adverb	4
grossest	adverb	5
guiltiest	adverb	4
hairiest	adverb	1
handiest	adverb	6
happiest	adverb	1
hardest	adverb	1
harshest	adverb	5
healthiest	adverb	2
heaviest	adverb	2
highest	adverb	2
hippest	adverb	2
hottest	adverb	1
humblest	adverb	6
hungriest	adverb	1
iciest	adverb	3
itchiest	adverb	4
juiciest	adverb	3
kindest	adverb	2
largest	adverb	2
latest	adverb	1
laziest	adverb	2
lightest	adverb	1
likeliest	adverb	3
littlest	adverb	1
liveliest	adverb	3
loneliest	adverb	3
longest	adverb	1
loudest	adverb	2
loveliest	adverb	2
lowest	adverb	2
maddest	adverb	2
meanest	adverb	4
messiest	adverb	3
mildest	adverb	3
narrowest	adverb	3
nastiest	adverb	3
naughtiest	adverb	4
nearest	adverb	3
neatest	adverb	3
neediest	adverb	1
newest	adverb	1
nicest	adverb	1
noisiest	adverb	2
oddest	adverb	4
oiliest	adverb	2
eldest	adverb	1
oldest	adverb	1
plainest	adverb	3
politest	adverb	2
poorest	adverb	1
prettiest	adverb	2
proudest	adverb	3
purest	adverb	3
quickest	adverb	1
quietest	adverb	2
rarest	adverb	3
rawest	adverb	3
richest	adverb	2
ripest	adverb	4
riskiest	adverb	4
roomiest	adverb	1
roughest	adverb	3
rudest	adverb	3
rustiest	adverb	4
saddest	adverb	1
safest	adverb	1
saltiest	adverb	4
sanest	adverb	6
scariest	adverb	3
shallowest	adverb	4
sharpest	adverb	3
shiniest	adverb	3
shortest	adverb	1
shyest	adverb	3
silliest	adverb	3
simplest	adverb	2
sincerest	adverb	5
sleepiest	adverb	3
slimmest	adverb	1
slowest	adverb	1
smallest	adverb	1
smartest	adverb	3
smokiest	adverb	6
smoothest	adverb	3
softest	adverb	2
soonest	adverb	2
sorest	adverb	3
sorriest	adverb	1
sourest	adverb	3
spiciest	adverb	3
steepest	adverb	3
strangest	adverb	2
strictest	adverb	3
strongest	adverb	2
sunniest	adverb	2
sweetest	adverb	1
tallest	adverb	1
tannest	adverb	4
tastiest	adverb	3
thickest	adverb	3
thinnest	adverb	2
thirstiest	adverb	2
tiniest	adverb	3
toughest	adverb	4
truest	adverb	2
warmest	adverb	1
weakest	adverb	3
wealthiest	adverb	4
weirdest	adverb	4
wettest	adverb	2
widest	adverb	2
wildest	adverb	2
windiest	adverb	2
wisest	adverb	4
worthiest	adverb	5
youngest	adverb	1
angriest	adjective	2
worst	adjective	1
biggest	adjective	1
bitterest	adjective	3
blackest	adjective	1
blandest	adjective	6
bloodiest	adjective	2
bluest	adjective	1
boldest	adjective	3
bossiest	adjective	4
bravest	adjective	3
briefest	adjective	3
brightest	adjective	2
broadest	adjective	3
busiest	adjective	2
calmest	adjective	3
cheapest	adjective	1
cleanest	adjective	1
clearest	adjective	2
cleverest	adjective	1
closest	adjective	1
cloudiest	adjective	2
clumsiest	adjective	4
coldest	adjective	1
coolest	adjective	2
craziest	adjective	2
cruellest	adjective	3
curliest	adjective	3
dampest	adjective	4
darkest	adjective	1
deadliest	adjective	4
deepest	adjective	2
densest	adjective	4
dirtiest	adjective	2
driest	adjective	2
dullest	adjective	3
dumbest	adjective	5
dustiest	adjective	3
earliest	adjective	1
easiest	adjective	1
faintest	adjective	4
fairest	adjective	2
fanciest	adjective	3
furthest	adjective	2
fastest	adjective	1
fattest	adjective	1
fewest	adjective	2
fiercest	adjective	4
filthiest	adjective	5
finest	adjective	1
firmest	adjective	4
fittest	adjective	2
flattest	adjective	3
freshest	adjective	2
friendliest	adjective	2
fullest	adjective	2
funniest	adjective	1
gentlest	adjective	3
best	adjective	1
grandest	adjective	5
gravest	adjective	4
greatest	adjective	1
greediest	adjective	4
grossest	adjective	5
guiltiest	adjective	4
hairiest	adjective	1
handiest	adjective	6
happiest	adjective	1
hardest	adjective	1
harshest	adjective	5
healthiest	adjective	2
heaviest	adjective	2
highest	adjective	2
hippest	adjective	2
hottest	adjective	1
humblest	adjective	6
hungriest	adjective	1
iciest	adjective	3
itchiest	adjective	4
juiciest	adjective	3
kindest	adjective	2
largest	adjective	2
latest	adjective	1
laziest	adjective	2
lightest	adjective	1
likeliest	adjective	3
littlest	adjective	1
liveliest	adjective	3
loneliest	adjective	3
longest	adjective	1
loudest	adjective	2
loveliest	adjective	2
lowest	adjective	2
maddest	adjective	2
meanest	adjective	4
messiest	adjective	3
mildest	adjective	3
narrowest	adjective	3
nastiest	adjective	3
naughtiest	adjective	4
nearest	adjective	3
neatest	adjective	3
neediest	adjective	1
newest	adjective	1
nicest	adjective	1
noisiest	adjective	2
oddest	adjective	4
oiliest	adjective	2
eldest	adjective	1
oldest	adjective	1
plainest	adjective	3
politest	adjective	2
poorest	adjective	1
prettiest	adjective	2
proudest	adjective	3
purest	adjective	3
quickest	adjective	1
quietest	adjective	2
rarest	adjective	3
rawest	adjective	3
richest	adjective	2
ripest	adjective	4
riskiest	adjective	4
roomiest	adjective	1
roughest	adjective	3
rudest	adjective	3
rustiest	adjective	4
saddest	adjective	1
safest	adjective	1
saltiest	adjective	4
sanest	adjective	6
scariest	adjective	3
shallowest	adjective	4
sharpest	adjective	3
shiniest	adjective	3
shortest	adjective	1
shyest	adjective	3
silliest	adjective	3
simplest	adjective	2
sincerest	adjective	5
sleepiest	adjective	3
slimmest	adjective	1
slowest	adjective	1
smallest	adjective	1
smartest	adjective	3
smokiest	adjective	6
smoothest	adjective	3
softest	adjective	2
soonest	adjective	2
sorest	adjective	3
sorriest	adjective	1
sourest	adjective	3
spiciest	adjective	3
steepest	adjective	3
strangest	adjective	2
strictest	adjective	3
strongest	adjective	2
sunniest	adjective	2
sweetest	adjective	1
tallest	adjective	1
tannest	adjective	4
tastiest	adjective	3
thickest	adjective	3
thinnest	adjective	2
thirstiest	adjective	2
tiniest	adjective	3
toughest	adjective	4
truest	adjective	2
warmest	adjective	1
weakest	adjective	3
wealthiest	adjective	4
weirdest	adjective	4
wettest	adjective	2
widest	adjective	2
wildest	adjective	2
windiest	adjective	2
wisest	adjective	4
worthiest	adjective	5
youngest	adjective	1
other	adjective	1
so	preposition	1
other	noun	1
something	noun	1
as	adverb	1
as	preposition	1
its	pronoun	1
many	adjective	1
more	adjective	1
my	pronoun	1
third	adjective	1
second	adjective	1
outside	noun	1
there	noun	1
listen	noun	1
say	noun	1
above	preposition	1
below	preposition	1
bad	noun	1
catch	noun	1
anything	noun	1
most	adjective	1
internet	noun	1
everything	noun	2
anybody	noun	2
nothing	noun	2
everybody	noun	2
nobody	noun	2
alone	adverb	2
least	adjective	2
enough	adjective	2
out	preposition	2
several	adjective	2
thousand	noun	2
few	adjective	2
everyone	noun	2
less	adjective	2
sound	verb	2
someone	noun	2
whole	noun	2
even	adjective	2
once	preposition	2
anyone	noun	2
somebody	noun	2
front	noun	2
afford	verb	3
seem	verb	3
worth	adjective	3
universe	noun	3
though	preposition	3
depend	verb	3
FALSE	adjective	3
base	verb	3
count	noun	3
unable	adjective	3
either	conjunction	3
unless	preposition	3
dark	noun	3
nor	none	4
media	noun	4
tend	verb	4
master	verb	4
basics	noun	4
rely	verb	4
derive	verb	5
